id,odai_photo_file_name,text,is_laugh
ge5kssftl,9fkys1gb2r.jpg,君しょっちゅうソレ自慢するけど、ツムジ２個ってそんなに嬉しいのかい？,0
r7sm6tvkj,c6ag0m1lak.jpg,これでバレない？授業中寝てもバレない？,0
yp5aze0bh,whtn6gb9ww.jpg,"「あなたも感じる？」
『ああ…、感じてる…』
「後ろに幽霊いるよね…」
『女のな…』",0
ujaixzo56,6yk5cwmrsy.jpg,大塚愛聞いてたらお腹減った…さく、らんぼと牛タン食べたい… ,0
7vkeveptl,0i9gsa2jsm.jpg,熊だと思ったら嫁だった,0
9roywlfab,eturmndylg.jpg,あきのたの〜かり…,0
8pqe7lget,gkjvhzcshz.jpg,分解して遊んでいたボールペンのバネがとんでいった,1
z9jdibpil,njkg3ig2xz.jpg,これ僕が食べた貝,0
2fwu7br7g,16twkbqjew.jpg,話せよ。オレ、内緒にするの得意だぜ。,0
xkrxwkizs,nlhjfsckrn.jpg,グンマー県知事アルパチーノ・ヌダンマクカ,0
qipiqh42v,bu6p2rp3nc.jpg,ウォーリーのを探せ,1
fe6eyj8he,zoyqstj6sh.jpg,ご主人の寝顔可愛い〜っ猫パンチしたくなる！あのお鼻...あと5秒でお鼻にパンチだ！5...4...3...,0
smargurgx,xzv1cl4d8a.jpg,前にならんでいた客で売り切れになった。,1
1gtfdgqin,oilltst3qq.jpg,高橋真麻60歳,1
ilw9k6ta4,0ki8xqhkex.jpg,私の職業は「地球の自転」,0
rfuxnm1oa,curevm1p3c.jpg,ぬお。足の裏こちょこちょ我慢大会、準優勝の子もなかなかの我慢っぷりやのー。,0
iqlj7jemm,j2hj7aafnw.jpg,「女湯確認。ババア多数！繰り返す！ババア多数！」「本部了解。作戦中止。帰投せよ。」,1
7zaln4bhy,0qrjiuxqpi.jpg,豆知識,1
0yo6iiopi,wnbrkt0cff.jpg,私にとび膝蹴りはきかないわよ,0
mnfvh9jyw,1ezbfwhd9y.jpg,オレがアイツでアイツがオレで,0
73mqyc73g,yisqvvj5id.jpg,やだ ブラ忘れちゃった,1
jlilkfchg,fiihtgrdb6.jpg,この状況を、どうボケるか考えてる。,0
qry6mylsf,cevcfksdhb.jpg,全身Hな口ーションまみれで帰って来た父を激怒したオカンが天ぷら油の中に投げ込んだ瞬間、化学反応が起きて油が固まった,1
viwrdgh7e,5emqak5jkz.jpg,女王を始末すれば働かなくても済むと気付いた蟻たち,1
pk3vjwhfy,3smdahpngs.jpg,バツ17で?借金8億!もっと頂戴あなたの不幸話!え?旦那はイケメン?そういうのいらなーい… …けれども若干ハゲ!?ヒュー,1
w8d40twxg,ozp98nilxp.jpg,自分の右手と左手でじゃんけんをして鍛える,0
xh7wcm5zm,iz60ak9l8d.jpg,私が私でなくなる前に逃げて下さい,0
9ol11jmxh,lntaj1lvgk.jpg,男子100メートル不自由型 ,1
skahna8il,tam9barblp.jpg,「分からない？2時の方向138km先で肉を焼いているわ」,1
abfrww5ks,basgojgwum.jpg,覚えたな？よし、トリュフを探して来い！,1
iwmdrjlzs,kl8ehevbtm.jpg,映画『武田双雲物語』のラスト「書道はトメとハネやで〜」と言いながら墨じゅうの海に沈んでいくシーン,0
jkrittzlg,z4lqwlz0vz.jpg,レは連打のレレレレレレレレレレレレレレレレレレレレレレレレのレレレレ,0
5pt9m5zxm,fs2nilheob.jpg,蜂の巣の幼虫,0
iwfym5kud,9dolikugzq.jpg,お風呂あっつい！,1
vj70ptx70,nythhpehok.jpg,黙れ小僧‼︎,0
c8jenrxs9,xkznexuqku.jpg,ハハハ コンサート行きたいとはいったけど、なんで僕やる側にいるの？,0
umstqopho,u8dpdxu4hw.jpg,ボランティアで行う町の廃品集めに参加し、「不要な物あります？」と聞いたら「お前じゃね？」と言われたので処理場に向かう。,1
scfsr5x8x,cvn3qnr7e3.jpg,おまえじゃねぇーよ、おまえじゃねぇーって。,1
ghxfvnegw,s1tz7cbzkz.jpg,アフリカに送ったダスキンが間違った使い方をされていた,1
nne6nzzzc,e56txvnkg7.jpg,口はかたいです,0
zl2zgypfe,f34qiom5a3.jpg,観客から飛んでくるちくわと鉄アレイ。鉄アレイに当たった,0
ltzjrvawg,7h47biu7vz.jpg,主人公にありがちな、優勢を導く独特のポーズ,0
wte3pdtzo,styzda2uls.jpg,[あなたと文通できて嬉しいです。私はどちらかというと広瀬すずに似てるっていわれます・・・],1
rn8kpjkki,dj80cuhyio.jpg,「神の手を使った男がいたんですよ～」『なぁ～にぃ～やっち「まぁ彼のおかげで優勝できたんですけどね～」,0
ivzz0zsiv,5c1lvnnqad.jpg,文房具コーナーの試し書きが神がかってる,1
zbi7vsoff,wbptahic15.jpg,「将軍様、この屏風からパンを　出せって？お腹すいてるんなら買ってきますよ」,0
etk8lpvaw,4lpeb8srdv.jpg,寝不足と肩こりで悩んでた係長にテンピュールのマットを薦めたら、天空の兜と聞き間違えたので殴りたいが、防御力が高すぎる。,1
o8uys9uq5,a2jjxvroeg.jpg,トイレから戻ったら女.子が自分の席に座ってたので、掲示物を見て休み時間が終わるのを待つ,1
15olx4hph,1pnlpcrboz.jpg,ゾウさんを家で飼いたくて両手でギュ～～～ッて圧縮してたら、思いのほかペラペラになっちゃった瞬間に「あっ、流れ星」,0
oxdzxhhnk,fm4p83ykjq.jpg,「どこの冷蔵庫かと思ったら、　　ジェシカじゃない！久しぶりね」　「おいキミー。なんで冷蔵庫と　話して…あっ！ジェシカ！」,1
ratqd4akh,arwkltmb2i.jpg,母と兄の権力の下で必死に赤ん坊と姉を守る父,1
do5tuhoeg,oo3xdgy5uc.jpg,おままごとに「天地創造」のくだりがある,1
xyhfc9cv1,ntxqmvlxsh.jpg,ハイエロファントグリーンの結界,1
l2nwjh49f,5arifx0wyl.jpg,やめて、後ろの子が見てる,0
9n99tgehb,z80a1gwd3n.jpg,家庭訪問に来たらあからさまな  ハニートラップを仕掛けられた,0
s44epsbms,coiruzcusw.jpg,パトカーの赤く光る部分の中,1
zyrv9awpk,z41nzlk6j6.jpg,初めて巻いたので見せ方が分からずローブを開いたり閉じたりしてチラチラ見せてくる,0
k2u0gewei,qiiathxsov.jpg,イオンにぎりぎり行ける服装選手権,1
kr93otan0,1xhuot4d6l.jpg,んんwww瓜二つの者がいるですとwww？,0
ujxkjoa1t,hx615ox7k3.jpg,ちょ...まぢふざけんなって！絶対割るなよ！フリじゃねぇぞ！！    はい、ドーン！はい、ドーン！,0
nnjqpo7jg,xirqrityqk.jpg,1週間に1度、貞子が這い出てくる。,0
ug9a4nbzf,3alxnzokyw.jpg,「どーせ俺が光っても進むんやろ？」と自分の存在意義に疑問を持つ大阪の黄色信号,1
cn4gedglk,oly4yloish.jpg,そこのノーブル君の背番号に「しも」と落書きしたでしょう！？いくらノーブル2世が立派だからって…,0
sen42vpcw,de3cljptim.jpg,工事現場のオッサンが持ってるダダダダダッてやる機械に貼ってあったHなシールを、動きを合わせて正確にガン見する弟,1
wzahqplzp,yu1smtgp2b.jpg,これがお前のやり方か〜,0
o8bqqthtu,1mw2cnei43.jpg,ハゲの毛根確認中,0
yukzvi9fa,ihhxbpph6y.jpg,裁判長「被告人は談笑をやめて席に戻りなさい!!」,1
r3bcizcjd,adeqfcatqb.jpg,ゴールを決めたのに誰も来てくれない。,0
myn6cqb5u,poqbdfdbi4.jpg,いや、マイクに寄せたわけじゃない,0
mox5lf9js,v44vfueq6e.jpg,ブラジルの人ですが、聞こえましたよ,0
kfma88q1g,o5jfpg0pxi.jpg,店長「そんな雰囲気出されたって食い逃げは食い逃げですからね」,1
ejyxq4x1a,ls53iigk9d.jpg,お客様！そのボール、レジ通してください！お客様！,1
zotttlvlw,7ghidtq2cn.jpg,ご主人が自撮り棒とか言ってるので写真撮ってくれるのかと思ったら串みたいの持ってた。地鶏棒の間違いだった。,1
lkrgsbdkn,wbdoglvls2.jpg,全然喋ったことの無い高校の同級生が優勝した途端友達づらをしてくる,0
lzrzps8z2,qo4gctc6b8.jpg,ホントにごめんって！  この通りだ！,1
vkofno3sg,xji3erscye.jpg,ここに置いてあったボール２つ知らない？,0
faywmnlrz,ouibf0qa9p.jpg,長崎のビードロ工場で 世界の闇を見学した,0
m2whudoco,mr3lcurpca.jpg,待ち合わせをしたネットの友達が同僚だった,1
enqvmnict,eiprip9lbq.jpg,おでこのメガネで デコデコデコリ〜ン☆,0
atcfpwrbl,juprkexwpc.jpg,サイドリラックス,0
z66c1pqg2,ackt5olusq.jpg,今日はトリマーに連れ行ってやるぞ、ヒゲを綺麗にしてもらおうな,0
cmkm6memr,wiozuyb7id.jpg,日本の彼氏に余ったピザ持って行っていい？,0
t8u2cllm4,sxyqlo6ryq.jpg,来年の園長を決めるため、園児による投票が行われた。,0
uughoqqcq,mmibeypmry.jpg,近道で東京湾突っ切って行くんで、息…止めててください。三時間ぐらい。,0
tecjuhask,h2t2d91vtk.jpg,きみは我々のことをチョコボール、親指メガネと呼んでいるらしいが本当かね？,1
ahd3nsnlz,lu4firf6pg.jpg,仕掛けた罠に野生のインストラクターが絡まってた,1
hbuonyhv6,ayelktqa17.jpg,明,1
guldcczit,tqdxonxgzc.jpg,"縦60m横2m高さ2mの
力ステラの値段を求めよ。",1
kufyc0q39,sdvgibgwe6.jpg,組む奴居ないから仕方なく、「アホの田中」と組み「リズム感が大切」って教えたら、俺が漕ぐタイミングで頭ポコッてやってくる,1
jzjttb8kl,v1yoiipepi.jpg,例えば私が太っていたとしましょう,1
hauutwoq5,wbbdasqotu.jpg,コブクロ,0
la7mzn0va,9utm4rhpp6.jpg,目標ですか？もちろん、ソロデビューです,1
ghloiobsz,wuoef2g9vq.jpg,だって落とし物でメロンとか届いたら普通食べるでしょ,1
jyskdsmaf,zg2s5kzjhb.jpg,参加者2人でほぼ同着なのにお互い全く譲る気配すらない。,0
jj6bk1xor,awjtz9rexd.jpg,「いやじゃいやじゃ〜！あの盆栽欲しい〜！」,1
p7nq90hk4,2ixmorqbzc.jpg,嫁,0
wktjpxaoy,kp87lsjnsr.jpg,ハダカエプロンなのにご主人が喜んでくれない…,1
5nn025a04,k6bzfdi87l.jpg,これはチャイ.ナのシャンハイ。ガスとゲスの街だ。,0
qnxy8aach,tvvt7abzwf.jpg,スマホ中毒の息子を山奥の圏外へ連れて行ってみようと思いま〜す,1
62myof9vs,gbjgcr4jwh.jpg,ウルトラマンが『ウルトラ額縁』をウルトラ使ってウルトラ闘ったウルトラ跡は、見事なウルトラ観光名所にウルトラなる,0
shl5vvogo,8lpucked2r.jpg,カレー食い過ぎた滝藤賢一,0
obfrvzzpu,ffjes7ko7t.jpg,吉田沙保里のデコピンに耐えた女としてギネスに載った,1
4uutzcer4,leaef2b024.jpg,この画像を180度回転させてください。これが魚たちから見た景色ですよ。,1
e63ujrpog,u813jhiegl.jpg,冬眠中のカエルを掘り起こしてはまた埋めながら「土へカエル」という小ボケをやり続けてもう20年。成人式も行かなかった。,1
c5u0wpqgl,2v8uzyiq5g.jpg,生まれ変わったら何になりたい？と神様に言われたヤドカリの兄弟が「じゃぁ、人で！」と答えた結果が悲しすぎる。,1
